Neighbourhood,Neighbourhood Id,Total Population,Healthy Food Index,Lat,Long
Roncesvalles,86.0,14974.0,44.85,43.6514426,-79.45103809999999
High Park,87.0,23925.0,46.53,43.64628135,-79.4638213811953
Swansea,87.0,23925.0,46.53,43.644940000000005,-79.478313
High Park North,88.0,22162.0,40.24,43.6547092,-79.4600712
Runnymede,89.0,10070.0,45.64,43.6655802,-79.4821078
Bloor West Village,89.0,10070.0,45.64,43.6493184,-79.4844358
Junction Area,90.0,14366.0,44.09,43.6654775,-79.470352
Weston,91.0,11098.0,52.57,43.70016079999999,-79.5162474
Pellam Park,91.0,11098.0,52.57,1.0,0.0
Corso Italia,92.0,14133.0,37.94,43.677954,-79.4430828
Davenport,92.0,14133.0,37.94,43.6715614,-79.4482927
Dovercourt,93.0,36625.0,35.06,43.6653069,-79.4326362
Wallace Emerson,93.0,36625.0,35.06,43.6667328,-79.4464779
Juncti,93.0,36625.0,35.06,1.0,0.0
Wychwood,94.0,14349.0,40.49,43.6820944,-79.4238554
Annex,95.0,30526.0,38.85,43.670337700000005,-79.407117
Casa Loma,96.0,10968.0,32.33,43.678101500000004,-79.409415775
Yonge,97.0,12528.0,32.65,43.688047999999995,-79.3943057
St.Clair,97.0,12528.0,32.65,43.68795120000001,-79.3936947
Rosedale,98.0,20923.0,32.2,43.6783556,-79.3807457
Moore Park,98.0,20923.0,32.2,43.6903876,-79.3832965
Mount Pleasant East,99.0,16775.0,50.4,43.7084166,-79.3901348
Yonge,100.0,11817.0,31.95,43.688047999999995,-79.3943057
Eglinton,100.0,11817.0,31.95,43.739622,-79.23229040000001
Forest Hill South,101.0,10732.0,18.49,43.6935586,-79.41390229999999
Forest Hill North,102.0,12806.0,29.11,43.6935586,-79.41390229999999
Lawrence Park South,103.0,15179.0,37.53,43.729199,-79.40325250000001
Mount Pleasant West,104.0,29658.0,41.6,43.7084166,-79.3901348
Lawrence Park North,105.0,14607.0,52.03,43.729199,-79.40325250000001
Humewood,106.0,14365.0,32.85,43.6857205,-79.4251158
Cedarvale,106.0,14365.0,32.85,43.694404399999996,-79.4263047
Oakwood Village,107.0,21210.0,41.07,43.682725500000004,-79.43805479999999
Briar Hill,108.0,14257.0,34.23,43.70304535,-79.45134360044909
Belgravia,108.0,14257.0,34.23,43.6984306,-79.4450478
Caledonia,109.0,9955.0,53.48,43.692370200000006,-79.4653558
Fairbank,109.0,9955.0,53.48,43.695689,-79.4503097
Keelesdale,110.0,11058.0,34.48,43.690157,-79.4750564
Eglinton West,110.0,11058.0,34.48,43.700017200000005,-79.4363964
Rockcliffe,111.0,22246.0,31.87,43.6746425,-79.48840759999999
Smythe,111.0,22246.0,31.87,43.67469235,-79.49817443424371
Beechborough,112.0,6577.0,25.57,43.695029600000005,-79.4716835
Greenbrook,112.0,6577.0,25.57,43.6960243,-79.48024570000001
Weston,113.0,17992.0,41.45,43.70016079999999,-79.5162474
Lambton Baby Point,114.0,7985.0,27.28,1.0,0.0
Mount Dennis,115.0,13593.0,29.91,43.6869597,-79.48955129999999
Steeles,116.0,24623.0,11.36,43.8161778,-79.3145378
L'Amoreaux,117.0,43993.0,30.73,43.799003000000006,-79.30596690000002
Tam O'Shanter,118.0,27446.0,41.37,43.7810454,-79.2980941
Sullivan,118.0,27446.0,41.37,43.7726802,-79.3159449
Wexford/Maryvale,119.0,27917.0,42.08,1.0,0.0
Clairlea,120.0,26984.0,30.8,43.708823100000004,-79.2959856
Birchmount,120.0,26984.0,30.8,43.7728641,-79.2917074
Oakridge,121.0,13845.0,35.43,43.697173799999995,-79.27482320000001
Birchcliffe,122.0,22291.0,32.74,1.0,0.0
Cliffside,122.0,22291.0,32.74,43.711169899999994,-79.2481769
Cliffcrest,123.0,15935.0,25.55,43.7219387,-79.2362324
Kennedy Park,124.0,17123.0,34.96,43.724878000000004,-79.2539688
Ionview,125.0,13641.0,47.14,43.7359904,-79.2765146
Dorset Park,126.0,25003.0,32.27,43.7528467,-79.282067
Bendale,127.0,29960.0,29.12,43.7535196,-79.2553355
Agincourt South,128.0,23757.0,35.26,43.7853531,-79.2785494
Malvern West,128.0,23757.0,35.26,43.790679,-79.248491
Agincourt North,129.0,29113.0,38.09,43.8080383,-79.2664391
Milliken,130.0,26572.0,25.25,43.823217299999996,-79.3015232
Rouge,131.0,46496.0,21.95,43.8049304,-79.1658374
Malvern,132.0,43794.0,38.63,43.8091955,-79.2217008
Centennial Scarborough,133.0,13362.0,9.35,43.7874914,-79.1507681
Highland Creek,134.0,12494.0,0.63,43.790117200000005,-79.1733344
Morningside,135.0,17455.0,6.67,43.7826012,-79.2049579
West Hill,136.0,27392.0,28.06,43.7689144,-79.1872905
Woburn,137.0,53485.0,27.73,43.7598243,-79.2252908
Eglinton East,138.0,22776.0,34.79,43.739622,-79.23229040000001
Scarborough Village,139.0,16724.0,35.48,43.7437422,-79.2116324
Guildwood,140.0,9917.0,15.57,43.754898499999996,-79.1977755
